"","player_api_id","overall_rate","gk_rate","player_name","appear","league"
"6378",141576,65,97,"Enda Stevens",6,1
"6379",141662,71,136,"Alvaro Fernandez",6,1
"6380",141699,78,52,"Milan Badelj",104,2
"6381",141704,67,49,"Kaja Rogulj",25,1
"6382",141733,57,44,"Sergey Khizhnichenko",8,1
"6383",141814,62,125,"Lennart Hartmann",1,1
"6384",142186,68,124,"Johan Maartensson",49,1
"6385",142272,68,44,"Richard Guzmics",42,1
"6386",142282,70,57,"Barry Douglas",95,2
"6387",142357,58,44,"Jon Robertson",11,1
"6388",142990,64,53,"Samuel Scheimann",30,1
"6389",142992,64,54,"Kevin Brands",7,1
"6390",142994,68,53,"John Verhoek",17,2
"6391",143365,81,128,"Wilfried Bony",120,2
"6392",143403,66,89,"Danilo",13,1
"6393",143442,75,59,"Toni Sunjic",28,2
"6394",143512,71,107,"Danny Hoesen",33,1
"6395",143523,68,64,"Bruno Andrade",24,1
"6396",143710,74,114,"Luciano Becchio",2,1
"6397",143750,70,132,"Zargo Toure",42,1
"6398",143752,73,125,"Frederic Sammaritano",37,1
"6399",143757,72,140,"Mehdi Mostefa",134,1
"6400",143790,73,114,"Yannis Tafer",87,2
"6401",143793,83,138,"Jack Wilshere",93,1
"6402",143795,75,123,"Fausto Rossi",41,1
"6403",143841,73,150,"Juanmi Callejon",1,1
"6404",143923,62,308,"Robbert Te Loeke",2,1
"6405",143939,64,56,"Soufiane Dadda",1,1
"6406",143945,68,69,"Rajiv van La Parra",49,2
"6407",144989,70,64,"Efe Ambrose",97,1
"6408",144993,83,50,"Shinji Kagawa",126,2
"6409",144996,77,146,"Sung-Yueng Ki",140,2
"6410",144998,66,46,"Marko Jovanovic",45,1
"6411",144999,78,126,"Nenad Tomovic",140,1
"6412",145002,69,128,"Shaun Cummings",9,1
"6413",145020,69,125,"Marcos Paulo",91,1
"6414",145039,74,138,"Jean-Jacques Gosso",54,1
"6415",145058,66,33,"Helder",20,1
"6416",145061,71,121,"Sylvio Ronny Rodelin",79,2
"6417",145063,67,47,"Jorge Claros",39,1
"6418",145066,68,134,"Tripy Makonda",18,2
"6419",145067,73,106,"Jean-Ecudes Maurice",3,1
"6420",145068,62,46,"Robin Previtali",6,1
"6421",145070,77,140,"Franck Tabanou",184,1
"6422",145536,74,55,"Benjamin Huebner",30,1
"6423",145538,68,126,"Dennis Daube",7,1
"6424",145545,67,99,"Stephan Hain",6,1
"6425",145550,82,406,"Kevin Trapp",149,2
"6426",145551,77,122,"Roman Neustaedter",169,1
"6427",145561,76,120,"Anderson",73,1
"6428",145583,72,136,"Fellipe Bastos",2,1
"6429",145584,69,85,"Tengarrinha",75,1
"6430",145586,69,144,"Stijn Wuytens",95,2
"6431",146768,71,56,"Jose Luis Fernandez",1,1
"6432",146830,76,99,"Joel Ward",104,1
"6433",147351,70,116,"Carlao",108,1
"6434",147594,72,51,"Bryan Linssen",136,1
"6435",147600,70,48,"Maikel Kieftenbeld",132,1
"6436",147601,70,58,"Wout Droste",77,1
"6437",147614,76,105,"Fallou Diagne",90,2
"6438",147616,65,65,"Michal Janota",62,1
"6439",147717,69,128,"Sascha Bigalke",1,1
"6440",147722,67,135,"Said Husejinovic",1,1
"6441",147726,73,104,"Leon Balogun",34,1
"6442",147729,83,139,"Luiz Gustavo",198,1
"6443",147731,70,129,"Taner Yalcin",14,1
"6444",147732,69,117,"Richard Sukuta-Pasu",29,2
"6445",147733,71,351,"Mohamed Amsif",25,1
"6446",147735,75,56,"Alexander Esswein",77,1
"6447",147877,67,116,"Marley Watkins",44,1
"6448",147951,80,52,"Josip Ilicic",138,1
"6449",147958,80,136,"Marvin Martin",172,1
"6450",147959,72,124,"Yoric Ravet",97,2
"6451",147960,68,117,"Bakary Soro",30,1
"6452",147980,60,54,"Emil Drozdowicz",10,1
"6453",148153,68,53,"Carlos Olascuaga",3,1
"6454",148286,66,124,"Joachim Mununga",62,1
"6455",148289,63,45,"Yohan Brouckaert",10,1
"6456",148292,54,119,"Mvuezolo Muscal Musumbu",10,1
"6457",148294,63,45,"Benjamin Lambot",19,1
"6458",148297,56,278,"Mario Matos",2,1
"6459",148302,76,135,"Cheikhou Kouyate",149,2
"6460",148308,49,248,"Sven De Volder",7,1
"6461",148311,60,302,"Gregory Delwarte",2,1
"6462",148313,64,125,"Dimitri Daeselaire",38,1
"6463",148314,74,131,"Anele Ngcongca",153,2
"6464",148315,82,104,"Christian Benteke",149,2
"6465",148325,67,334,"Kristof van Hout",52,1
"6466",148326,52,124,"Rob Claeys",1,1
"6467",148327,65,116,"Istvan Bakx",8,1
"6468",148329,69,120,"Elimane Coulibaly",89,1
"6469",148331,65,326,"Anthony Moris",3,1
"6470",148335,76,124,"Mehdi Carcela-Gonzalez",66,2
"6471",148336,64,138,"Joerie Dequevy",54,1
"6472",148338,60,72,"Jeroen Vanthournout",19,1
"6473",148483,72,349,"Marian Kello",114,1
"6474",148487,68,61,"Vytautas Andriuskevicius",81,2
"6475",148790,73,119,"Jose Baxter",1,1
"6476",148792,67,91,"Kieran Agard",3,1
"6477",148827,69,49,"Abdoulwahid Sissoko",50,2
"6478",148828,70,123,"Vincent Manceau",27,1
"6479",148829,63,58,"Romero Regales",4,1
"6480",148830,73,115,"Benjamin Andre",130,1
"6481",148832,73,98,"Yannick Sagbo",70,2
"6482",148904,67,112,"Jordan Spence",2,1
"6483",148905,56,102,"Joel Thomas",13,1
"6484",148909,67,114,"Stuart O'Keefe",3,1
"6485",148948,65,112,"Kevin Diaz",7,1
"6486",148953,53,101,"Ahmed Soukouna",1,1
"6487",148955,75,67,"Marcelo Toscano",54,1
"6488",148960,66,112,"Jaycee Okwunwanne",4,1
"6489",148974,67,52,"Rui Miguel",18,2
"6490",149006,69,110,"Toko Nzuzi",121,1
"6491",149031,72,122,"Lamine Gassama",124,1
"6492",149140,64,46,"Xavier Luissint",13,1
"6493",149150,72,126,"Denis Odoi",127,1
"6494",149173,63,44,"Koen Weuts",36,1
"6495",149174,66,61,"Frederik Frans",61,2
"6496",149206,60,54,"Geoffrey Cabeke",10,1
"6497",149211,68,47,"Nathan Kabasele",16,2
"6498",149219,75,61,"Christian Kabasele",58,1
"6499",149258,67,39,"Rachid Bourabia",73,1
"6500",149260,64,320,"Tom Muyters",29,2
"6501",149279,66,125,"Karim Belhocine",92,1
"6502",149334,67,64,"Fredric Brillant",68,1
"6503",149345,63,62,"Mikael Seoudi",6,1
"6504",149367,53,113,"Rudy Saintini",11,1
"6505",149583,76,58,"Lucas Mendes",43,1
"6506",149584,74,111,"Ariel Nahuelpan",20,1
"6507",149845,70,124,"Douglas",38,1
"6508",149855,71,67,"Cuco Martina",103,2
"6509",149856,60,43,"Roald van Hout",5,1
"6510",149895,63,129,"Jordan Bowery",5,1
"6511",149909,69,77,"Marco Terrazzino",1,1
"6512",149917,72,133,"Jordon Mutch",46,1
"6513",149947,72,98,"Orlando Sa",31,3
"6514",149949,69,60,"Filipe Goncalves",72,1
"6515",149950,64,56,"Josa",1,1
"6516",149952,69,117,"Ozeia",54,1
"6517",149953,69,51,"Leandro Tatu",27,1
"6518",149959,63,101,"Miguel Castro",28,1
"6519",149962,81,137,"Nicolas N'Koulou",230,1
"6520",150007,70,119,"Francois Affolter",160,2
"6521",150018,66,129,"Daniel Kabir Mustafa",19,1
"6522",150019,67,143,"Teti",2,1
"6523",150020,69,113,"Rui Varela",14,1
"6524",150021,70,359,"Karl-Johan Johnsson",28,1
"6525",150024,73,145,"Fernando Alexandre",174,1
"6526",150025,74,49,"Goncalo Santos",55,1
"6527",150026,79,114,"Eder",106,3
"6528",150031,52,99,"Diogo Luis",1,1
"6529",150036,67,125,"Sandro",20,1
"6530",150038,73,140,"Braga",95,1
"6531",150039,71,83,"Paulo Tavares",70,1
"6532",150041,80,137,"Maicon",120,1
"6533",150044,63,319,"Pajetat Douglas",2,1
"6534",150045,79,146,"Ruben Micael",124,2
"6535",150046,62,56,"Igor Pita",1,1
"6536",150047,74,131,"Joao Aurelio",139,1
"6537",150053,66,123,"Rossetto Michel Simplicio",25,1
"6538",150064,77,126,"Baiano",151,1
"6539",150065,69,136,"Daniel Elias Araujo Maykon",50,1
"6540",150066,69,341,"Giovanaz Assis",18,1
"6541",150068,67,132,"Theo Weeks,24",24,1
"6542",150077,66,326,"Marcio Paiva",19,1
"6543",150080,76,129,"Miguel Lopes",97,3
"6544",150081,76,134,"Silvio",97,2
"6545",150082,69,137,"Andre Vilas Boas",87,1
"6546",150083,74,129,"Tarantini",164,1
"6547",150084,56,54,"Domagoj Pusic",4,1
"6548",150085,57,122,"Jose Semedo",5,1
"6549",150091,68,134,"Wires",102,1
"6550",150093,80,131,"Eduardo Salvio",96,2
"6551",150119,77,137,"Marko Vejinovic",144,1
"6552",150176,76,143,"Fabio",35,1
"6553",150199,64,49,"Leon Broekhof",18,1
"6554",150201,79,123,"Luuk de Jong",160,3
"6555",150203,64,54,"Soufian El Hassnaoui",25,1
"6556",150206,61,135,"Kai van Hese",11,1
"6557",150209,66,97,"Bogdan Milic",20,1
"6558",150210,69,345,"Darley",5,1
"6559",150211,65,49,"Norichio Nieveld",60,1
"6560",150213,68,53,"Mitchell Schet",58,1
"6561",150217,65,322,"Dennis Telgenkamp",24,1
"6562",150236,79,396,"Jeroen Zoet",162,1
"6563",150239,67,66,"Maciej Wilusz",55,1
"6564",150240,63,60,"Joey Godee",27,2
"6565",150242,74,369,"Eloy Room",113,1
"6566",150243,68,123,"Nicky Kuiper",18,1
"6567",150248,68,55,"Furdjel Narsingh",45,1
"6568",150250,85,146,"Pedro Rodriguez",160,2
"6569",150260,70,51,"James Dayton",56,1
"6570",150267,70,97,"Andre Fontes",31,1
"6571",150268,76,99,"Andre Almeida",73,1
"6572",150271,65,46,"Junior Negrao",16,2
"6573",150272,65,60,"Tiago Almeida",2,1
