"","lon","lat"
"460",NA,NA
"461",NA,NA
"462",-97.4394777,35.2225668
"463",NA,NA
"464",NA,NA
"465",-86.313257,31.956256
"466",-76.2710833,-12.2720956
"467",-99.9018131,43.9695148
"468",-70.6692655,-33.4488897
"469",-79.5198696,8.9823792
"470",-75.015152,-9.189967
"471",NA,NA
"472",-118.6071884,35.1894378
"473",-79.3831843,43.653226
"474",NA,NA
"475",NA,NA
"476",-76.2982742,36.8354258
"477",NA,NA
"478",-107.9910335,51.5554913
"479",-1.513952,55.185467
"480",NA,NA
"481",21.5393309,41.3329867
"482",-74.2876618,40.2897815
"483",-118.2436849,34.0522342
"484",72.8776559,19.0759837
"485",-84.544109,38.9431183
"486",NA,NA
"487",-74.0059413,40.7127837
"488",NA,NA
"489",-81.2452768,42.9849233
"490",NA,NA
"491",-0.1277583,51.5073509
"492",-94.6126055,39.0420509
"493",NA,NA
"494",NA,NA
"495",NA,NA
"496",-83.7411631,42.4782758
"497",NA,NA
"498",-81.3792365,28.5383355
"499",-122.2913078,37.8271784
"500",NA,NA
"501",77.2090212,28.6139391
"502",-76.2710833,-12.2720956
"503",NA,NA
"504",-96.8300995,32.8163594
"505",-80.1917902,25.7616798
"506",-118.2436849,34.0522342
"507",-106.346771,56.130366
"508",126.9779692,37.566535
"509",NA,NA
"510",-77.3663538,35.612661
"511",-81.5190053,41.0814447
"512",NA,NA
"513",NA,NA
"514",-70.8226541,43.9653889
"515",NA,NA
"516",-87.9234183,43.0454659
"517",-73.9441579,40.6781784
"518",-102.552784,23.634501
"519",-102.552784,23.634501
"520",NA,NA
"521",-69.968338,12.52111
"522",NA,NA
"523",NA,NA
"524",-81.5157535,27.6648274
"525",-119.4179324,36.778261
"526",NA,NA
"527",NA,NA
"528",-92.5369563,44.5660691
"529",NA,NA
"530",-95.712891,37.09024
"531",NA,NA
"532",-103.3496092,20.6596988
"533",0.5217254,51.2787075
"534",-75.5258502,42.5412494
"535",-119.4179324,36.778261
"536",NA,NA
"537",-122.2913078,37.8271784
"538",-118.2117257,34.0297895
"539",-83.985,42.43472
"540",-120.5542012,43.8041334
"541",-81.5157535,27.6648274
"542",NA,NA
"543",78.96288,20.593684
"544",-2.58791,51.454513
"545",NA,NA
"546",72.9958748,21.7051358
"547",NA,NA
"548",NA,NA
"549",-116.0985554,44.9077453
"550",-118.3841777,34.050751
"551",-87.771964,41.909611
"552",-83.6782668,41.1828302
"553",NA,NA
"554",NA,NA
"555",-94.5785667,39.0997265
"556",NA,NA
"557",-77.0368707,38.9071923
"558",NA,NA
"559",NA,NA
"560",-96.6876197,44.7717522
"561",-91.4984941,44.811349
"562",NA,NA
"563",-116.2146068,43.6187102
"564",-79.3831843,43.653226
"565",NA,NA
"566",NA,NA
"567",-81.3792365,28.5383355
"568",NA,NA
"569",NA,NA
"570",-102.552784,23.634501
"571",80.196693,13.1992334
"572",-90.0489801,35.1495343
"573",-86.3624655,41.8402756
"574",39.1335549,22.4486944
"575",-96.7969879,32.7766642
"576",NA,NA
"577",-118.3962867,33.8495713
"578",NA,NA
"579",-79.9748103,32.8546197
"580",NA,NA
"581",NA,NA
"582",-87.6756134,41.9517033
"583",-119.4179324,36.778261
"584",-95.712891,37.09024
"585",-73.9464769,40.8115504
"586",NA,NA
"587",NA,NA
"588",NA,NA
"589",NA,NA
"590",NA,NA
"591",-82.907123,40.4172871
"592",-74.0059413,40.7127837
"593",NA,NA
"594",-66.590149,18.220833
"595",NA,NA
"596",NA,NA
"597",NA,NA
"598",133.775136,-25.274398
"599",-77.0368707,38.9071923
"600",-78.183406,-1.831239
"601",NA,NA
"602",78.96288,20.593684
"603",-74.0112764,40.7074909
"604",NA,NA
"605",NA,NA
"606",NA,NA
"607",74.4976741,15.8496953
"608",NA,NA
"609",-116.796398,47.67648
"610",-95.2091006,29.6910625
"611",NA,NA
"612",NA,NA
"613",81.2152121,8.5873638
"614",NA,NA
"615",-97.3813176,31.3610195
"616",113.921327,-0.789275
"617",-112.0740373,33.4483771
"618",NA,NA
"619",-118.2436849,34.0522342
"620",73.8567437,18.5204303
"621",-118.2436849,34.0522342
"622",NA,NA
"623",NA,NA
"624",NA,NA
"625",NA,NA
"626",-87.6297982,41.8781136
