"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"24","RT @theofficenbc: RELATIONSHIP GOALS. #TheOffice #ValentinesDay https://t.co/2ayKdhT91U",FALSE,0,NA,2017-02-16 03:49:57,FALSE,NA,"832074513374343168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oopsitsfaith",936,TRUE,FALSE,NA,NA
"25","RT @jenannrodrigues: #WIN a $250 Gift Card to @ThatsJared for your #ValentinesDay shopping! #jewelry #giveaway #ad https://t.co/a8F7aNU8l4",FALSE,0,NA,2017-02-16 03:49:57,FALSE,NA,"832074512216838145",NA,"<a href=""https://twitter.com/Alexis_25_"" rel=""nofollow"">gifthgyug</a>","Alexis_25_",2,TRUE,FALSE,NA,NA
"26","RT @atlsexyslim: Vamp valentines look #makeup #valentinesmakeup #ValentinesDay #rpdr #rpdr9 #dragqueen https://t.co/QSNDjyJdg5",FALSE,0,NA,2017-02-16 03:49:57,FALSE,NA,"832074511751192578",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fatandfem",10,TRUE,FALSE,NA,NA
"27","RT @DisneyAve: Happy #ValentinesDay! Who's your favorite #Disney couple? https://t.co/IDOkbZGCJa",FALSE,0,NA,2017-02-16 03:49:52,FALSE,NA,"832074492859932672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClaraSm07",49,TRUE,FALSE,NA,NA
"28","RT @FullTextArchive: It's never too late to surprise your book-loving Valentine!
#booklovers #gifts #Valentinesday
https://t.co/oY6KS4GvEc…",FALSE,0,NA,2017-02-16 03:49:51,FALSE,NA,"832074486765801472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","judehaste_write",26,TRUE,FALSE,NA,NA
"29","RT @popwrecked: Happy Day After #ValentinesDay From #PopwreckedApproved @AbiRatchford https://t.co/BZSR4U43St",FALSE,0,NA,2017-02-16 03:49:50,FALSE,NA,"832074484219731968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alexishugo1959",2004,TRUE,FALSE,NA,NA
"30","Felt very confident last night :)#selfie #selfies #ValentinesDay #dress #reddress #earrings #CharmingCharlies https://t.co/MOLBHwFV2F",FALSE,0,NA,2017-02-16 03:49:49,FALSE,NA,"832074476670042113",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","_Destiny_Renee",0,FALSE,FALSE,NA,NA
"31","RT @GoBearcatsFB: #ValentinesDay? No, the #Bearcats celebrated C-Paw Pride Day this morning! #JUICED <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> https://t.co/29cF71xsKk",FALSE,0,NA,2017-02-16 03:49:47,FALSE,NA,"832074470449876992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thee_MrsBond59",61,TRUE,FALSE,NA,NA
"32","RT @ISS_Research: A little #love note for #ValentinesDay from @Space_Station, via Earth observation of Lago Strobel in Argentina. https://t…",FALSE,0,NA,2017-02-16 03:49:46,FALSE,NA,"832074467006296066",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thalia_Toledo5",785,TRUE,FALSE,NA,NA
"33","RT @Jesseo88: Happy  #ValentinesDay https://t.co/oakfTKABJb",FALSE,0,NA,2017-02-16 03:49:45,FALSE,NA,"832074462992461825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lame_chey",9,TRUE,FALSE,NA,NA
