"","lon","lat"
"391",-66.9036063,10.4805937
"392",-97.6222665,30.5464236
"393",83.3731675,26.7605545
"394",-117.9536697,33.7091847
"395",-79.6428425,43.4978659
"396",NA,NA
"397",-99.9018131,31.9685988
"398",NA,NA
"399",NA,NA
"400",-43.5522256,-22.7106685
"401",NA,NA
"402",NA,NA
"403",NA,NA
"404",NA,NA
"405",-6.2603097,53.3498053
"406",NA,NA
"407",NA,NA
"408",-119.4179324,36.778261
"409",NA,NA
"410",NA,NA
"411",-71.542969,-35.675147
"412",NA,NA
"413",-79.532157,43.8169837
"414",-51.92528,-14.235004
"415",NA,NA
"416",-38.5266704,-3.7318616
"417",NA,NA
"418",NA,NA
"419",NA,NA
"420",NA,NA
"421",NA,NA
"422",-85.3232139,51.253775
"423",10.89779,48.3705449
"424",-86.5804473,35.5174913
"425",NA,NA
"426",-95.712891,37.09024
"427",NA,NA
"428",NA,NA
"429",-71.3824374,42.4072107
"430",NA,NA
"431",NA,NA
"432",NA,NA
"433",-122.9006951,47.0378741
"434",NA,NA
"435",-95.712891,37.09024
"436",-85.207229,12.865416
"437",NA,NA
"438",NA,NA
"439",138.252924,36.204824
"440",NA,NA
"441",NA,NA
"442",NA,NA
"443",NA,NA
"444",NA,NA
"445",NA,NA
"446",NA,NA
"447",NA,NA
"448",-95.712891,37.09024
"449",NA,NA
"450",NA,NA
"451",-84.5588311,38.2097967
"452",-0.770362,38.381001
"453",NA,NA
"454",NA,NA
"455",NA,NA
"456",81.846311,25.4358011
"457",NA,NA
"458",-99.9018131,31.9685988
"459",-90.1994042,38.6270025
"460",NA,NA
"461",NA,NA
"462",103.7618154,1.4853682
"463",NA,NA
"464",NA,NA
"465",-97.330053,37.6871761
"466",-73.9202391,41.6002842
"467",NA,NA
"468",NA,NA
"469",-3.435973,55.378051
"470",-83.0457538,42.331427
"471",NA,NA
"472",NA,NA
"473",NA,NA
"474",NA,NA
"475",NA,NA
"476",121.774017,12.879721
"477",NA,NA
"478",NA,NA
"479",NA,NA
"480",-97.1330683,33.2148412
"481",NA,NA
"482",-121.4943996,38.5815719
"483",NA,NA
"484",NA,NA
"485",-76.3452218,37.0298687
"486",-71.0994888,42.3627257
"487",NA,NA
"488",NA,NA
"489",-81.378447,40.7989473
"490",-63.616672,-38.416097
"491",NA,NA
"492",-118.2436849,34.0522342
"493",-81.8479925,41.4124339
"494",NA,NA
"495",-86.2541768,41.8297694
"496",NA,NA
"497",-118.2436849,34.0522342
"498",-91.8074586,18.6504879
"499",138.252924,36.204824
"500",-2.6983209,53.7670855
"501",NA,NA
"502",NA,NA
"503",NA,NA
"504",NA,NA
"505",NA,NA
"506",NA,NA
"507",-74.0059413,40.7127837
"508",-95.712891,37.09024
"509",-95.712891,37.09024
"510",-82.907123,40.4172871
"511",NA,NA
"512",NA,NA
"513",NA,NA
"514",-106.4899163,31.7243416
"515",-121.4943996,38.5815719
"516",-73.134961,40.789142
"517",-83.860493,33.5967091
"518",78,20
"519",-75.6691652,45.319212
"520",NA,NA
"521",NA,NA
"522",-80.8431267,35.2270869
"523",144.963056,-37.813611
"524",-72.8973496,41.3937162
"525",NA,NA
"526",NA,NA
"527",-118.3286614,34.0928092
"528",NA,NA
"529",NA,NA
"530",-81.5157535,27.6648274
"531",80.0170493,12.8881131
"532",73.712479,24.585445
"533",NA,NA
"534",NA,NA
"535",-82.9000751,32.1656221
"536",NA,NA
"537",72.8776559,19.0759837
"538",121.774017,12.879721
"539",NA,NA
"540",-78.6568942,37.4315734
"541",-85.7584557,38.2526647
"542",NA,NA
"543",NA,NA
"544",120.9842195,14.5995124
"545",-70.6692655,-33.4488897
"546",NA,NA
"547",-87.771964,41.909611
"548",-82.9987942,39.9611755
"549",-104.8213634,38.8338816
"550",NA,NA
"551",-102.552784,23.634501
"552",-122.3320708,47.6062095
"553",NA,NA
