"","count","lat","lon"
"104",5,25.7616798,-80.1917902
"105",1,25.7826123,-80.1340772
"106",1,26.1669711,-80.256595
"107",1,26.2034071,-98.2300124
"108",1,26.640628,-81.8723084
"109",1,26.7271012,88.3952861
"110",1,26.9124336,75.7872709
"111",7,27.6648274,-81.5157535
"112",1,27.950575,-82.4571776
"113",1,28.0434726,-82.472568
"114",1,28.0582985,-81.8661442
"115",1,28.2143574,-82.7350514
"116",1,28.3647248,-82.1959178
"117",1,28.373949,-81.551844
"118",1,28.394857,84.124008
"119",1,28.4743207,-81.4678193
"120",2,28.5383355,-81.3792365
"121",1,28.6122187,-80.8075537
"122",2,28.6139391,77.2090212
"123",1,28.6329957,-106.0691004
"124",1,29.0587757,76.085601
"125",1,29.0971845,75.9637413
"126",1,29.3909464,76.9635023
"127",1,29.423035,-98.4908102
"128",1,29.4241219,-98.4936282
"129",1,29.5635666,-95.2860474
"130",1,29.5815012,74.3294199
"131",1,29.5844524,-81.2078699
"132",1,29.5957696,-90.7195348
"133",1,29.6150433,-98.3168216
"134",1,29.6910625,-95.2091006
"135",1,29.7030024,-98.1244531
"136",6,29.7604267,-95.3698028
"137",1,29.7927238,-95.742248
"138",1,29.8082883,75.8257955
"139",1,29.9510658,-90.0715323
"140",1,30.0085542,-97.1594321
"141",1,30.1658207,-95.4612625
"142",1,30.220194,-95.571231
"143",1,30.267153,-97.7430608
"144",1,30.2752011,-98.8719843
"145",1,30.2949457,-82.98402
"146",1,30.3609069,-97.9526035
"147",1,30.375321,69.345116
"148",2,30.421309,-87.2169149
"149",1,30.4228993,-94.9462046
"150",1,30.4382559,-84.2807329
"151",2,30.9842977,-91.9623327
"152",1,31.1075832,77.1667792
"153",1,31.1240175,75.777846
"154",1,31.3610195,-97.3813176
"155",1,31.8087678,-85.969951
"156",1,31.956256,-86.313257
"157",10,31.9685988,-99.9018131
"158",3,32.1656221,-82.9000751
"159",1,32.2268212,-95.2255041
"160",1,32.3182314,-86.902298
"161",1,32.3199396,-106.7636538
"162",1,32.3546679,-89.3985283
"163",1,32.3881861,-98.9792336
"164",1,32.4706777,-100.0128739
"165",1,32.5232053,-92.637927
"166",1,32.691725,-96.4469015
"167",2,32.715738,-117.1610838
"168",1,32.742923,-97.7428165
"169",1,32.7554883,-97.3307658
"170",1,32.7766642,-96.7969879
"171",1,32.8163594,-96.8300995
"172",1,32.8546197,-79.9748103
"173",1,33.0806083,-96.8928309
"174",1,33.1972465,-96.6397822
"175",1,33.3128057,44.3614875
"176",1,33.4353394,-112.3576567
"177",2,33.4483771,-112.0740373
"178",1,33.5510021,-79.0414261
"179",1,33.6000232,-117.6719953
"180",1,33.6407282,-84.4277001
"181",1,33.6771203,-117.8167973
"182",1,33.7455731,-117.8678338
"183",4,33.7489954,-84.3879824
"184",1,33.7525129,-84.3898086
"185",1,33.7700504,-118.1937395
"186",1,33.7739053,-117.9414477
"187",1,33.783315,-84.3831166
"188",1,33.8495713,-118.3962867
"189",2,33.854721,35.862285
"190",1,33.8752935,-117.5664384
"191",1,33.932414,-84.516481
"192",1,33.9934867,-81.0739825
"193",1,34.0007104,-81.0348144
"194",1,34.0246348,-118.3815981
"195",1,34.0297895,-118.2117257
"196",2,34.0489281,-111.0937311
"197",1,34.050751,-118.3841777
"198",8,34.0522342,-118.2436849
"199",1,34.0564227,-118.4136037
"200",1,34.0565284,-117.8215295
"201",2,34.0900091,-118.3617443
