"","count","lat","lon"
"73",1,6.4661301,80.4331538
"74",1,6.5243793,3.3792057
"75",1,6.8649081,79.8996789
"76",1,6.9270786,79.861243
"77",2,7.11732,-73.1260999
"78",1,7.7713572,-72.2261466
"79",1,9.081999,8.675277
"80",1,9.8638091,-83.9161935
"81",3,9.9280694,-84.0907246
"82",1,10.0600742,-2.5098914
"83",1,10.3156992,123.8854366
"84",1,10.4805937,-66.9036063
"85",1,10.5887998,122.1396745
"86",1,10.6407389,122.9689565
"87",1,10.8505159,76.2710833
"88",1,11.1271225,78.6568942
"89",1,12.52111,-69.968338
"90",1,12.707434,101.1473517
"91",1,12.865416,-85.207229
"92",3,12.879721,121.774017
"93",1,12.8881131,80.0170493
"94",2,12.9715987,77.5945627
"95",2,13.0826802,80.2707184
"96",1,13.6899991,100.7501124
"97",2,13.6929403,-89.2181911
"98",1,13.7563309,100.5017651
"99",1,14.058324,108.277199
"100",1,14.2456329,120.8785658
"101",1,14.3488961,121.0392436
"102",1,14.5176184,121.0508645
"103",1,14.5696177,121.0264823
"104",1,14.5995124,120.9842195
"105",1,14.9967842,121.1710389
"106",2,15.870032,100.992541
"107",1,16.7569318,-93.1292353
"108",1,17.385044,78.486671
"109",1,17.989456,-92.9475061
"110",1,18.0178743,-76.8099041
"111",2,18.220833,-66.590149
"112",1,18.5204303,73.8567437
"113",1,18.6504879,-91.8074586
"114",1,18.735693,-70.162651
"115",1,18.9242095,-99.2215659
"116",5,19.0759837,72.8776559
"117",1,19.1504232,72.9330298
"118",1,19.3133,-81.2546
"119",1,19.3149641,-99.2425886
"120",1,19.4130129,-99.1801606
"121",3,19.4326077,-99.133208
"122",1,19.8392372,-98.9848677
"123",1,20,78
"124",1,20.2960587,85.8245398
"125",6,20.593684,78.96288
"126",1,21.0904274,-86.7694836
"127",1,21.1250077,-101.6859605
"128",1,21.1458004,79.0881546
"129",1,21.1702401,72.8310607
"130",2,21.3069444,-157.8583333
"131",1,21.325771,-157.8748628
"132",1,21.3353909,-158.0568965
"133",1,21.386338,-157.9255357
"134",2,21.3972222,-157.9733333
"135",1,21.916221,95.955974
"136",1,22.2800902,-81.2142516
"137",1,22.293139,-97.8846644
"138",1,22.3475365,91.8123324
"139",1,22.396428,114.109497
"140",1,22.7641984,-102.5865558
"141",1,22.9867569,87.8549755
"142",1,23.0798696,-109.7124043
"143",1,23.317419,-106.479642
"144",11,23.634501,-102.552784
"145",1,23.810332,90.4125181
"146",1,24.585445,73.712479
"147",1,24.8614622,67.0099388
"148",1,25.0865151,-80.4472802
"149",1,25.2138156,75.8647527
"150",1,25.2583192,51.5386659
"151",1,25.3961861,85.917677
"152",1,25.4358011,81.846311
"153",1,25.6039859,-109.0548225
"154",6,25.6866142,-100.3161126
"155",7,25.7616798,-80.1917902
"156",1,25.788047,-80.140662
"157",2,25.790654,-80.1300455
"158",3,26.1224386,-80.1373174
"159",1,26.1420358,-81.7948103
"160",1,26.2034071,-98.2300124
"161",1,26.5513307,-81.8872939
"162",1,26.6167555,-80.0684479
"163",1,26.7153424,-80.0533746
"164",1,26.7605545,83.3731675
"165",1,26.820553,30.802498
